Company_Brand,Founded,HeadQuarter,Sector,Amount,Stage,Funding Year
Aqgromalin,2019.0,Chennai,AgriTech,200000.0,Unknown,2020
Krayonnz,2019.0,Bangalore,EdTech,100000.0,Early Stage,2020
PadCare Labs,2018.0,Pune,Hygiene management,0.0,Early Stage,2020
NCOME,2020.0,New Delhi,Escrow,400000.0,Unknown,2020
Gramophone,2016.0,Indore,AgriTech,340000.0,Unknown,2020
qZense,2019.0,Bangalore,AgriTech,600000.0,Early Stage,2020
MyClassboard,2008.0,Hyderabad,EdTech,600000.0,Early Stage,2020
Metvy,2018.0,Gurgaon,Networking platform,0.0,Early Stage,2020
Rupeek,2015.0,Bangalore,FinTech,45000000.0,Series A to Series H,2020
Gig India,2017.0,Pune,Crowdsourcing,1000000.0,Early Stage,2020
Slurrp Farm,2016.0,Gurgaon,Food & Bevarages,2000000.0,Series A to Series H,2020
Medfin,2017.0,Bangalore,HealthTech,0.0,Series A to Series H,2020
MasterG,2015.0,New Delhi,Fashion startup,0.0,Unknown,2020
Brila 91,2014.0,New Delhi,Food & Bevarages,1200000.0,Unknown,2020
FoodyBuddy,2015.0,Belgaum,Food Industry,600000.0,Unknown,2020
Zomato,2008.0,Gurgaon,Food Delivery,660000000.0,Unknown,2020
OurEye.ai,2020.0,Bangalore,Virtual auditing startup,120000.0,Unknown,2020
Shiprocket,2017.0,New Delhi,E-commerce,7500000.0,Series A to Series H,2020
Pine Labs,1998.0,Noida,FinTech,0.0,Unknown,2020
Moneyboxx Finance,2019.0,New Delhi,FinTech,1000000.0,Unknown,2020
EWar,2019.0,Bangalore,Gaming,0.0,Early Stage,2020
SucSEED Indovation,2016.0,Hyderabad,FinTech,5000000.0,Unknown,2020
TaxBuddy.com,2019.0,Mumbai,FinTech,1000000.0,Unknown,2020
Awign Enterprises,2016.0,Bangalore,Work fulfillment,500000.0,Unknown,2020
Circle of Angels,2018.0,Gurgaon,FinTech,3000000.0,Unknown,2020
CoinDCX,2017.0,Mumbai,FinTech,10000000.0,Series A to Series H,2020
Glance,2016.0,Bangalore,AI startup,145000000.0,Unknown,2020
VerSe Innovation,2007.0,Bangalore,Telecommunication,100000000.0,Unknown,2020
Voosh,2020.0,Bangalore,Food Industry,0.0,Early Stage,2020
Delhivery,2011.0,Gurgaon,E-commerce,0.0,Unknown,2020
Arya,1982.0,Noida,AgriTech,21000000.0,Series A to Series H,2020
Pickrr,2015.0,New Delhi,Logistics,4000000.0,Unknown,2020
PhonePe,2015.0,Andheri,FinTech,20000000.0,Unknown,2020
Countingwell,2018.0,Bangalore,EdTech,1000000.0,Early Stage,2020
